Experiment,Final Loss,Final IoU,Final F1,Final Precision,Final Recall,Total Epochs,Best Epoch
high_lr_experiment,0.6451833844184875,0.13060307502746582,0.19468161463737488,1.0,0.2544679641723633,50,
low_lr_experiment,0.669628381729126,0.05835041403770447,0.09625199437141418,1.0,0.11602859199047089,100,
medium_lr_experiment,0.6340522766113281,0.17014741897583008,0.2654147446155548,1.0,0.4374803304672241,75,
